order_id,order_date,customer_id,product_id,quantity,unit_price,unit_cost,discount_pct,total_amount,ship_state,order_status
ORD-03610,2024-01-01 08:46:00,CUST-0250,PROD-0021,1,291.9,164.19,0.15,248.11,Washington,Returned
ORD-04450,2024-01-01 10:20:00,CUST-0168,PROD-0009,1,204.37,109.97,0.0,204.37,Arizona,Completed
ORD-00126,2024-01-01 10:31:00,CUST-0146,PROD-0021,2,291.9,164.19,0.0,583.8,Texas,Completed
ORD-00805,2024-01-01 11:23:00,CUST-0007,PROD-0016,1,77.47,29.69,0.0,77.47,Missouri,Completed
ORD-02119,2024-01-01 12:35:00,CUST-0027,PROD-0039,3,22.26,12.69,0.0,66.78,California,Completed
ORD-04508,2024-01-01 13:15:00,CUST-0043,PROD-0016,1,77.47,29.69,0.0,77.47,California,Completed
ORD-04508,2024-01-01 13:15:00,CUST-0043,PROD-0010,1,208.1,119.9,0.0,208.1,California,Completed
ORD-05977,2024-01-01 15:12:00,CUST-0224,PROD-0024,2,180.37,77.96,0.0,360.74,Ohio,Completed
ORD-05999,2024-01-01 15:32:00,CUST-0142,PROD-0016,1,77.47,29.69,0.0,77.47,Michigan,Completed
ORD-02421,2024-01-01 16:50:00,CUST-0056,PROD-0016,4,77.47,29.69,0.0,309.88,Ohio,Completed
ORD-02421,2024-01-01 16:50:00,CUST-0056,PROD-0022,1,96.98,37.02,0.15,82.43,Ohio,Completed
ORD-02421,2024-01-01 16:50:00,CUST-0056,PROD-0021,1,291.9,164.19,0.0,291.9,Ohio,Completed
ORD-05088,2024-01-01 17:49:00,CUST-0183,PROD-0041,1,406.06,218.23,0.0,406.06,Illinois,Completed
ORD-01848,2024-01-01 17:49:00,CUST-0203,PROD-0024,1,180.37,77.96,0.0,180.37,Colorado,Completed
ORD-01848,2024-01-01 17:49:00,CUST-0203,PROD-0022,1,96.98,37.02,0.0,96.98,Colorado,Completed
ORD-05088,2024-01-01 17:49:00,CUST-0183,PROD-0021,1,291.9,164.19,0.1,262.71,Illinois,Completed
ORD-02471,2024-01-01 18:28:00,CUST-0090,PROD-0021,1,291.9,164.19,0.0,291.9,California,Completed
ORD-02471,2024-01-01 18:28:00,CUST-0090,PROD-0016,1,77.47,29.69,0.05,73.6,California,Completed
ORD-02471,2024-01-01 18:28:00,CUST-0090,PROD-0041,3,406.06,218.23,0.2,974.54,California,Completed
ORD-00189,2024-01-01 18:46:00,CUST-0078,PROD-0039,1,22.26,12.69,0.05,21.15,California,Completed
ORD-02845,2024-01-02 08:44:00,CUST-0184,PROD-0016,1,77.47,29.69,0.0,77.47,New Jersey,Completed
